"","id","price","neighborhood","accommodates","bathrooms","bedrooms","beds","review_scores_rating","number_of_reviews","listing_url"
"1",15420,80,"New Town",2,1,1,1,99,283,"https://www.airbnb.com/rooms/15420"
"2",24288,115,"Southside",4,1.5,2,2,92,199,"https://www.airbnb.com/rooms/24288"
"3",38628,46,NA,2,1,0,2,94,52,"https://www.airbnb.com/rooms/38628"
"4",44552,32,"Leith",2,1,1,1,93,184,"https://www.airbnb.com/rooms/44552"
"5",47616,100,"Southside",2,1,1,1,98,32,"https://www.airbnb.com/rooms/47616"
"6",48645,71,"Old Town",3,1,1,2,97,762,"https://www.airbnb.com/rooms/48645"
"7",51505,175,"New Town",5,1,2,3,100,7,"https://www.airbnb.com/rooms/51505"
"8",54188,150,"West End",5,1,3,4,92,28,"https://www.airbnb.com/rooms/54188"
"9",55881,139,"Leith",6,1,4,5,96,222,"https://www.airbnb.com/rooms/55881"
"10",58682,190,"West End",10,2,4,7,99,142,"https://www.airbnb.com/rooms/58682"
"11",67706,85,"New Town",2,1,1,1,77,14,"https://www.airbnb.com/rooms/67706"
"12",74877,64,"Leith",4,2,1,1,98,60,"https://www.airbnb.com/rooms/74877"
"13",85620,79,"Leith",3,1,1,1,98,393,"https://www.airbnb.com/rooms/85620"
"14",87097,60,NA,2,1,1,1,96,116,"https://www.airbnb.com/rooms/87097"
"15",93904,55,"Haymarket",2,2,1,1,98,431,"https://www.airbnb.com/rooms/93904"
"16",97472,70,"Morningside",4,1,2,2,89,28,"https://www.airbnb.com/rooms/97472"
"17",100285,120,"New Town",2,1,1,1,95,58,"https://www.airbnb.com/rooms/100285"
"18",109731,50,"Leith",4,1,1,1,94,358,"https://www.airbnb.com/rooms/109731"
"19",112625,280,"Newington",10,1.5,5,5,97,106,"https://www.airbnb.com/rooms/112625"
"20",118314,75,"Leith",5,1,1,2,97,166,"https://www.airbnb.com/rooms/118314"
"21",122930,65,"Leith",2,1,1,1,98,615,"https://www.airbnb.com/rooms/122930"
"22",131342,80,"West End",4,1,1,1,91,97,"https://www.airbnb.com/rooms/131342"
"23",138010,80,"Old Town",4,1,1,1,97,468,"https://www.airbnb.com/rooms/138010"
"24",143047,180,"Leith",4,1,2,3,87,11,"https://www.airbnb.com/rooms/143047"
"25",145675,60,NA,3,1,2,2,100,56,"https://www.airbnb.com/rooms/145675"
"26",159769,200,"Southside",4,1.5,2,2,100,1,"https://www.airbnb.com/rooms/159769"
"27",163870,60,"Leith",4,1,2,3,97,101,"https://www.airbnb.com/rooms/163870"
"28",170756,55,"West End",2,2,1,1,97,297,"https://www.airbnb.com/rooms/170756"
"29",170762,131,"New Town",4,1,2,2,93,280,"https://www.airbnb.com/rooms/170762"
"30",177944,40,"Leith",2,0,1,1,92,26,"https://www.airbnb.com/rooms/177944"
"31",180429,45,"Leith",2,NA,1,1,89,50,"https://www.airbnb.com/rooms/180429"
"32",181860,65,"Old Town",4,1,2,3,98,361,"https://www.airbnb.com/rooms/181860"
"33",185514,223,"Haymarket",6,2,3,4,93,135,"https://www.airbnb.com/rooms/185514"
"34",186691,65,"New Town",2,1,1,1,91,8,"https://www.airbnb.com/rooms/186691"
"35",197220,85,"Marchmont",2,NA,1,1,100,1,"https://www.airbnb.com/rooms/197220"
"36",214571,200,"Old Town",7,2,3,4,92,211,"https://www.airbnb.com/rooms/214571"
"37",216245,300,"Haymarket",6,2,2,4,91,23,"https://www.airbnb.com/rooms/216245"
"38",229494,50,"Southside",3,1,1,2,97,491,"https://www.airbnb.com/rooms/229494"
"39",233839,20,NA,2,1,1,1,95,291,"https://www.airbnb.com/rooms/233839"
"40",241054,42,"Leith",2,1,1,1,94,172,"https://www.airbnb.com/rooms/241054"
"41",241511,34,"Cannonmills",5,1,1,5,94,179,"https://www.airbnb.com/rooms/241511"
"42",243941,115,"Leith",12,2,3,8,94,77,"https://www.airbnb.com/rooms/243941"
"43",247902,349,"Leith",6,2,2,4,98,35,"https://www.airbnb.com/rooms/247902"
"44",256783,45,"Newington",2,1,1,1,95,269,"https://www.airbnb.com/rooms/256783"
"45",286315,40,"Marchmont",3,1,2,3,97,24,"https://www.airbnb.com/rooms/286315"
"46",289425,70,"Newington",3,1,1,2,97,52,"https://www.airbnb.com/rooms/289425"
"47",291287,100,"New Town",2,1,1,1,NA,0,"https://www.airbnb.com/rooms/291287"
"48",291560,50,"Tollcross",4,1,2,2,97,7,"https://www.airbnb.com/rooms/291560"
"49",303242,70,"Cannonmills",2,NA,1,1,99,35,"https://www.airbnb.com/rooms/303242"
"50",303689,120,NA,1,0.5,1,1,95,13,"https://www.airbnb.com/rooms/303689"
"51",307715,108,"Old Town",2,1,1,1,95,166,"https://www.airbnb.com/rooms/307715"
"52",310380,55,NA,4,1,1,3,90,135,"https://www.airbnb.com/rooms/310380"
"53",317080,40,"Tollcross",2,1,1,2,98,78,"https://www.airbnb.com/rooms/317080"
"54",317676,125,"Marchmont",7,1,3,5,88,14,"https://www.airbnb.com/rooms/317676"
"55",321335,50,"Tollcross",2,1,1,1,97,69,"https://www.airbnb.com/rooms/321335"
"56",327159,94,"Old Town",4,1,1,3,96,75,"https://www.airbnb.com/rooms/327159"
"57",327161,93,"Old Town",6,2,3,5,89,59,"https://www.airbnb.com/rooms/327161"
"58",327168,120,"Leith",3,1,1,1,100,2,"https://www.airbnb.com/rooms/327168"
"59",335733,NA,"Old Town",2,1,0,1,92,224,"https://www.airbnb.com/rooms/335733"
"60",336457,NA,"Old Town",4,1,1,2,94,281,"https://www.airbnb.com/rooms/336457"
"61",340452,80,"Leith",2,1,1,1,99,447,"https://www.airbnb.com/rooms/340452"
"62",350267,90,"Cannonmills",6,1,2,3,91,100,"https://www.airbnb.com/rooms/350267"
"63",352432,150,"West End",6,2,3,4,94,74,"https://www.airbnb.com/rooms/352432"
"64",355938,180,"Old Town",5,1,2,3,96,115,"https://www.airbnb.com/rooms/355938"
